,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
3590,43670831,0,0,0,0,0,0,0,1,0,0,0,0
3600,43704947,0,0,0,0,0,0,0,1,0,0,0,0
3639,43819338,0,0,0,0,0,0,0,1,0,0,0,0
3651,43858331,0,0,0,0,0,0,0,1,0,0,0,0
3655,43904508,0,0,0,0,0,0,0,1,0,0,0,0
3664,43934593,0,0,0,0,0,0,0,1,0,0,0,0
3715,44086533,0,0,0,0,0,0,0,1,0,0,0,0
3730,44125147,0,0,0,0,0,0,0,1,0,0,0,0
3764,44230006,0,0,0,0,0,0,0,1,0,0,0,0
3778,44259426,0,0,0,0,0,0,0,1,0,0,0,0
3789,44308302,0,0,0,0,0,0,0,1,0,0,0,0
3801,44342985,0,0,0,0,0,0,0,1,0,0,0,0
3807,44353190,0,0,0,0,0,0,0,1,0,0,0,0
3813,44375029,0,0,0,0,0,0,0,1,0,0,0,0
3824,44405489,0,0,0,0,0,0,0,1,0,0,0,0
3835,44426180,0,0,0,0,0,0,0,1,0,0,0,0
3850,44480767,0,0,0,0,0,0,0,1,0,0,0,0
3891,44591679,0,0,0,0,0,0,0,1,0,0,0,0
3895,44605473,0,0,0,0,0,0,0,1,0,0,0,0
3896,44608623,0,0,0,0,0,0,0,1,0,0,0,0
3914,44666150,0,0,0,0,0,0,0,1,0,0,0,0
3940,44725484,0,0,0,0,0,0,0,1,0,0,0,0
3960,44777745,0,0,0,0,0,0,0,1,0,0,0,0
3962,44780769,0,0,0,0,0,0,0,1,0,0,0,0
3998,44867419,0,0,0,0,0,0,0,1,0,0,0,0
4002,44874738,0,0,0,0,0,0,0,1,0,0,0,0
4022,44949591,0,0,0,0,0,0,0,1,0,0,0,0
4032,44979911,0,0,0,0,0,0,0,1,0,0,0,0
4038,44998401,0,0,0,0,0,0,0,1,0,0,0,0
4047,45020188,0,0,0,0,0,0,0,1,0,0,0,0
4060,45051271,0,0,0,0,0,0,0,1,0,0,0,0
4080,45110174,0,0,0,0,0,0,0,1,0,0,0,0
4084,45114060,0,0,0,0,0,0,0,1,0,0,0,0
4125,45223948,0,0,0,0,0,0,0,1,0,0,0,0
4136,45252390,0,0,0,0,0,0,0,1,0,0,0,0
4158,45296455,0,0,0,0,0,0,0,1,0,0,0,0
4164,45310489,0,0,0,0,0,0,0,1,0,0,0,0
4173,45338677,0,0,0,0,0,0,0,1,0,0,0,0
4194,45395402,0,0,0,0,0,0,0,1,0,0,0,0
4209,45451317,0,0,0,0,0,0,0,1,0,0,0,0
4216,45471774,0,0,0,0,0,0,0,1,0,0,0,0
4217,45473529,0,0,0,0,0,0,0,1,0,0,0,0
4226,45490126,0,0,0,0,0,0,0,1,0,0,0,0
4236,45518257,0,0,0,0,0,0,0,1,0,0,0,0
4258,45600000,0,0,0,0,0,0,0,1,0,0,0,0
4289,45683794,0,0,0,0,0,0,0,1,0,0,0,0
4326,45828846,0,0,0,0,0,0,0,1,0,0,0,0
4348,45885520,0,0,0,0,0,0,0,1,0,0,0,0
4352,45898975,0,0,0,0,0,0,0,1,0,0,0,0
4365,45927542,0,0,0,0,0,0,0,1,0,0,0,0
4377,45979665,0,0,0,0,0,0,0,1,0,0,0,0
4416,46074407,0,0,0,0,0,0,0,1,0,0,0,0
4422,46093571,0,0,0,0,0,0,0,1,0,0,0,0
4439,46141419,0,0,0,0,0,0,0,1,0,0,0,0
4440,46142142,0,0,0,0,0,0,0,1,0,0,0,0
4451,46160239,0,0,0,0,0,0,0,1,0,0,0,0
4484,46267857,0,0,0,0,0,0,0,1,0,0,0,0
4502,46308713,0,0,0,0,0,0,0,1,0,0,0,0
4506,46318132,0,0,0,0,0,0,0,1,0,0,0,0
4550,46482865,0,0,0,0,0,0,0,1,0,0,0,0
4564,46543513,0,0,0,0,0,0,0,1,0,0,0,0
4576,46562192,0,0,0,0,0,0,0,1,0,0,0,0
4583,46573639,0,0,0,0,0,0,0,1,0,0,0,0
4590,46599927,0,0,0,0,0,0,0,1,0,0,0,0
4593,46613463,0,0,0,0,0,0,0,1,0,0,0,0
4595,46620460,0,0,0,0,0,0,0,1,0,0,0,0
4617,46682466,0,0,0,0,0,0,0,1,0,0,0,0
4668,46836685,0,0,0,0,0,0,0,1,0,0,0,0
4669,46837767,0,0,0,0,0,0,0,1,0,0,0,0
4715,46956872,0,0,0,0,0,0,0,1,0,0,0,0
