,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
45782,Eugeny_terminus_329,0,0,1,0,0,0,0,0,0,0,0,0,0
26128,Eugeny_terminus_413,0,0,1,0,0,0,0,0,0,0,0,0,0
6947,Eugeny_terminus_428,0,0,1,0,0,0,0,0,0,0,0,0,0
52114,Eugeny_terminus_464,0,0,1,0,0,0,0,0,0,0,0,0,0
72476,Eugeny_terminus_493,0,0,1,0,0,0,0,0,0,0,0,0,0
74344,Eugeny_terminus_518,0,0,1,0,0,0,0,0,0,0,0,0,0
75619,Eugeny_terminus_531,0,0,1,0,0,0,0,0,0,0,0,0,0
5780,Eugeny_terminus_614,0,0,1,0,0,0,0,0,0,0,0,0,0
31159,Eugeny_terminus_717,0,0,1,0,0,0,0,0,0,0,0,0,0
55946,Foundry376_Mailspring_100,0,0,1,0,0,0,0,0,0,0,0,0,0
22029,Foundry376_Mailspring_1005,0,0,1,0,0,0,0,0,0,0,0,0,0
82803,Foundry376_Mailspring_1008,0,0,1,0,0,0,0,0,0,0,0,0,0
4295,Foundry376_Mailspring_1015,0,0,1,0,0,0,0,0,0,0,0,0,0
89179,Foundry376_Mailspring_1023,0,0,1,0,0,0,0,0,0,0,0,0,0
87271,Foundry376_Mailspring_1036,0,0,1,0,0,0,0,0,0,0,0,0,0
76327,Foundry376_Mailspring_1052,0,0,1,0,0,0,0,0,0,0,0,0,0
54742,Foundry376_Mailspring_1056,0,0,1,0,0,0,0,0,0,0,0,0,0
68479,Foundry376_Mailspring_107,0,0,1,0,0,0,0,0,0,0,0,0,0
63541,Foundry376_Mailspring_1097,0,0,1,0,0,0,0,0,0,0,0,0,0
51225,Foundry376_Mailspring_1107,0,0,1,0,0,0,0,0,0,0,0,0,0
44666,Foundry376_Mailspring_1110,0,0,1,0,0,0,0,0,0,0,0,0,0
54005,Foundry376_Mailspring_1136,0,0,1,0,0,0,0,0,0,0,0,0,0
79824,Foundry376_Mailspring_1141,0,0,1,0,0,0,0,0,0,0,0,0,0
89880,Foundry376_Mailspring_1143,0,0,1,0,0,0,0,0,0,0,0,0,0
99285,Foundry376_Mailspring_1150,0,0,1,0,0,0,0,0,0,0,0,0,0
92643,Foundry376_Mailspring_1153,0,0,1,0,0,0,0,0,0,0,0,0,0
61978,Foundry376_Mailspring_116,0,0,1,0,0,0,0,0,0,0,0,0,0
62445,Foundry376_Mailspring_117,0,0,1,0,0,0,0,0,0,0,0,0,0
21186,Foundry376_Mailspring_1171,0,0,1,0,0,0,0,0,0,0,0,0,0
1542,Foundry376_Mailspring_1174,0,0,1,0,0,0,0,0,0,0,0,0,0
10010,Foundry376_Mailspring_1214,0,0,1,0,0,0,0,0,0,0,0,0,0
88341,Foundry376_Mailspring_1221,0,0,1,0,0,0,0,0,0,0,0,0,0
81731,Foundry376_Mailspring_1222,0,0,1,0,0,0,0,0,0,0,0,0,0
101384,Foundry376_Mailspring_1227,0,0,1,0,0,0,0,0,0,0,0,0,0
94394,Foundry376_Mailspring_1231,0,0,1,0,0,0,0,0,0,0,0,0,0
75473,Foundry376_Mailspring_1250,0,0,1,0,0,0,0,0,0,0,0,0,0
49254,Foundry376_Mailspring_1259,0,0,1,0,0,0,0,0,0,0,0,0,0
36135,Foundry376_Mailspring_1276,0,0,1,0,0,0,0,0,0,0,0,0,0
45467,Foundry376_Mailspring_1312,0,0,1,0,0,0,0,0,0,0,0,0,0
39853,Foundry376_Mailspring_1313,0,0,1,0,0,0,0,0,0,0,0,0,0
32149,Foundry376_Mailspring_1314,0,0,1,0,0,0,0,0,0,0,0,0,0
27089,Foundry376_Mailspring_1315,0,0,1,0,0,0,0,0,0,0,0,0,0
33638,Foundry376_Mailspring_1316,0,0,1,0,0,0,0,0,0,0,0,0,0
66023,Foundry376_Mailspring_1326,0,0,1,0,0,0,0,0,0,0,0,0,0
71397,Foundry376_Mailspring_1333,0,0,1,0,0,0,0,0,0,0,0,0,0
90699,Foundry376_Mailspring_1341,0,0,1,0,0,0,0,0,0,0,0,0,0
641,Foundry376_Mailspring_1362,0,0,1,0,0,0,0,0,0,0,0,0,0
25946,Foundry376_Mailspring_1366,0,0,1,0,0,0,0,0,0,0,0,0,0
92105,Foundry376_Mailspring_1379,0,0,1,0,0,0,0,0,0,0,0,0,0
78561,Foundry376_Mailspring_1380,0,0,1,0,0,0,0,0,0,0,0,0,0
25877,Foundry376_Mailspring_1400,0,0,1,0,0,0,0,0,0,0,0,0,0
98656,Foundry376_Mailspring_1408,0,0,1,0,0,0,0,0,0,0,0,0,0
20330,Foundry376_Mailspring_1415,0,0,1,0,0,0,0,0,0,0,0,0,0
58248,Foundry376_Mailspring_1453,0,0,1,0,0,0,0,0,0,0,0,0,0
52023,Foundry376_Mailspring_1463,0,0,1,0,0,0,0,0,0,0,0,0,0
33719,Foundry376_Mailspring_1464,0,0,1,0,0,0,0,0,0,0,0,0,0
33591,Foundry376_Mailspring_1470,0,0,1,0,0,0,0,0,0,0,0,0,0
39918,Foundry376_Mailspring_1475,0,0,1,0,0,0,0,0,0,0,0,0,0
46463,Foundry376_Mailspring_1476,0,0,1,0,0,0,0,0,0,0,0,0,0
72012,Foundry376_Mailspring_1494,0,0,1,0,0,0,0,0,0,0,0,0,0
65561,Foundry376_Mailspring_1497,0,0,1,0,0,0,0,0,0,0,0,0,0
69051,Foundry376_Mailspring_1521,0,0,1,0,0,0,0,0,0,0,0,0,0
22886,Foundry376_Mailspring_1549,0,0,1,0,0,0,0,0,0,0,0,0,0
81498,Foundry376_Mailspring_1551,0,0,1,0,0,0,0,0,0,0,0,0,0
94425,Foundry376_Mailspring_1557,0,0,1,0,0,0,0,0,0,0,0,0,0
3201,Foundry376_Mailspring_1570,0,0,1,0,0,0,0,0,0,0,0,0,0
16807,Foundry376_Mailspring_1577,0,0,1,0,0,0,0,0,0,0,0,0,0
94325,Foundry376_Mailspring_158,0,0,1,0,0,0,0,0,0,0,0,0,0
93854,Foundry376_Mailspring_1580,0,0,1,0,0,0,0,0,0,0,0,0,0
16094,Foundry376_Mailspring_1589,0,0,1,0,0,0,0,0,0,0,0,0,0
9160,Foundry376_Mailspring_1598,0,0,1,0,0,0,0,0,0,0,0,0,0
14592,Foundry376_Mailspring_1600,0,0,1,0,0,0,0,0,0,0,0,0,0
1462,Foundry376_Mailspring_1606,0,0,1,0,0,0,0,0,0,0,0,0,0
96470,Foundry376_Mailspring_1608,0,0,1,0,0,0,0,0,0,0,0,0,0
89888,Foundry376_Mailspring_1625,0,0,1,0,0,0,0,0,0,0,0,0,0
83336,Foundry376_Mailspring_1632,0,0,1,0,0,0,0,0,0,0,0,0,0
96680,Foundry376_Mailspring_1634,0,0,1,0,0,0,0,0,0,0,0,0,0
99226,Foundry376_Mailspring_1636,0,0,1,0,0,0,0,0,0,0,0,0,0
63889,Foundry376_Mailspring_1646,0,0,1,0,0,0,0,0,0,0,0,0,0
47540,Foundry376_Mailspring_1648,0,0,1,0,0,0,0,0,0,0,0,0,0
54001,Foundry376_Mailspring_1650,0,0,1,0,0,0,0,0,0,0,0,0,0
73461,Foundry376_Mailspring_1669,0,0,1,0,0,0,0,0,0,0,0,0,0
101081,Foundry376_Mailspring_167,0,0,1,0,0,0,0,0,0,0,0,0,0
40684,Foundry376_Mailspring_1677,0,0,1,0,0,0,0,0,0,0,0,0,0
56556,Foundry376_Mailspring_1725,0,0,1,0,0,0,0,0,0,0,0,0,0
54752,Foundry376_Mailspring_1730,0,0,1,0,0,0,0,0,0,0,0,0,0
67625,Foundry376_Mailspring_1736,0,0,1,0,0,0,0,0,0,0,0,0,0
89172,Foundry376_Mailspring_1745,0,0,1,0,0,0,0,0,0,0,0,0,0
10855,Foundry376_Mailspring_1770,0,0,1,0,0,0,0,0,0,0,0,0,0
89330,Foundry376_Mailspring_1779,0,0,1,0,0,0,0,0,0,0,0,0,0
86767,Foundry376_Mailspring_1787,0,0,1,0,0,0,0,0,0,0,0,0,0
4818,Foundry376_Mailspring_1798,0,0,1,0,0,0,0,0,0,0,0,0,0
16025,Foundry376_Mailspring_192,0,0,1,0,0,0,0,0,0,0,0,0,0
92987,Foundry376_Mailspring_206,0,0,1,0,0,0,0,0,0,0,0,0,0
4992,Foundry376_Mailspring_208,0,0,1,0,0,0,0,0,0,0,0,0,0
86169,Foundry376_Mailspring_217,0,0,1,0,0,0,0,0,0,0,0,0,0
47455,Foundry376_Mailspring_247,0,0,1,0,0,0,0,0,0,0,0,0,0
64142,Foundry376_Mailspring_261,0,0,1,0,0,0,0,0,0,0,0,0,0
38526,Foundry376_Mailspring_283,0,0,1,0,0,0,0,0,0,0,0,0,0
53644,Foundry376_Mailspring_288,0,0,1,0,0,0,0,0,0,0,0,0,0
34052,Foundry376_Mailspring_29,0,0,1,0,0,0,0,0,0,0,0,0,0
47091,Foundry376_Mailspring_290,0,0,1,0,0,0,0,0,0,0,0,0,0
69656,Foundry376_Mailspring_304,0,0,1,0,0,0,0,0,0,0,0,0,0
74167,Foundry376_Mailspring_312,0,0,1,0,0,0,0,0,0,0,0,0,0
63338,Foundry376_Mailspring_315,0,0,1,0,0,0,0,0,0,0,0,0,0
30745,Foundry376_Mailspring_337,0,0,1,0,0,0,0,0,0,0,0,0,0
69883,Foundry376_Mailspring_338,0,0,1,0,0,0,0,0,0,0,0,0,0
8790,Foundry376_Mailspring_356,0,0,1,0,0,0,0,0,0,0,0,0,0
102044,Foundry376_Mailspring_364,0,0,1,0,0,0,0,0,0,0,0,0,0
89232,Foundry376_Mailspring_376,0,0,1,0,0,0,0,0,0,0,0,0,0
8345,Foundry376_Mailspring_381,0,0,1,0,0,0,0,0,0,0,0,0,0
1732,Foundry376_Mailspring_396,0,0,1,0,0,0,0,0,0,0,0,0,0
100259,Foundry376_Mailspring_403,0,0,1,0,0,0,0,0,0,0,0,0,0
87130,Foundry376_Mailspring_411,0,0,1,0,0,0,0,0,0,0,0,0,0
4444,Foundry376_Mailspring_426,0,0,1,0,0,0,0,0,0,0,0,0,0
11012,Foundry376_Mailspring_431,0,0,1,0,0,0,0,0,0,0,0,0,0
28555,Foundry376_Mailspring_444,0,0,1,0,0,0,0,0,0,0,0,0,0
50128,Foundry376_Mailspring_454,0,0,1,0,0,0,0,0,0,0,0,0,0
47939,Foundry376_Mailspring_482,0,0,1,0,0,0,0,0,0,0,0,0,0
37819,Foundry376_Mailspring_485,0,0,1,0,0,0,0,0,0,0,0,0,0
