,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
6946,24846015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6359,24849257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7068,24859069,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1752,24883281,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1520,24891647,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1058,24892606,0,0,0,0,0,0,0,0,0,0,1,0,0,0
260,24898467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,24913133,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10675,24934596,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9489,24975889,0,0,0,1,0,0,0,0,0,0,0,0,0,0
550,24977514,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5599,24988352,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5732,25006570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7312,25040913,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4214,25045056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4064,25090479,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5763,25127541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7523,25135963,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2458,25143532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3027,25162767,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6578,25224031,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6652,25227048,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6650,25253911,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7635,25279709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4765,25287151,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9819,25319300,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6065,25320650,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9074,25336641,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9332,25344215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5192,25385431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7616,25385983,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,25390339,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1935,25390458,0,0,0,0,0,0,1,0,0,0,0,0,0,0
672,25391967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3255,25393493,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10112,25394151,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7526,25402492,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4608,25416161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6413,25441168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6352,25446820,0,0,0,0,0,0,0,0,0,0,0,0,1,0
