,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
60,18423790,0,0,0,0,0,0,0,0,0,0,0,0
61,18439372,0,0,0,0,0,0,1,0,0,0,0,0
62,18558737,0,0,0,0,0,0,0,0,0,0,0,1
63,18566016,0,0,0,0,0,0,0,0,0,0,0,0
64,18566634,0,0,0,0,0,0,0,0,0,0,0,0
65,18617676,0,0,0,0,0,0,0,0,0,0,0,0
66,18647853,0,0,0,0,0,0,0,0,0,0,0,0
67,18655981,0,0,0,0,1,0,0,0,0,0,0,0
68,18717262,1,0,0,0,0,0,0,0,0,0,0,0
69,18783944,0,0,0,0,1,0,0,0,0,0,0,0
70,18841134,0,0,0,0,0,0,0,0,0,0,0,1
71,18867489,0,0,0,0,0,0,0,0,0,0,0,0
72,18872259,0,0,0,0,0,0,0,0,0,0,0,0
73,18980364,0,0,0,0,0,0,0,0,0,0,0,0
74,18987507,0,1,0,0,0,0,0,0,0,0,0,0
75,19004397,0,0,0,0,0,0,0,0,0,0,0,1
76,19056567,0,0,0,0,1,0,0,0,0,0,0,0
77,19157659,0,0,0,0,0,0,0,0,1,0,0,0
78,19186452,0,0,0,0,0,0,1,0,0,0,0,0
79,19247334,0,0,0,0,0,0,0,0,0,0,1,0
80,19276699,0,0,0,0,0,0,0,0,0,0,0,0
81,19285669,0,1,0,0,0,0,0,0,0,0,0,0
82,19286529,0,1,0,0,0,0,0,0,0,0,0,0
83,19315550,0,0,0,0,0,0,0,0,0,0,0,0
84,19323878,0,0,0,0,1,0,0,0,0,0,0,0
85,19400421,0,0,0,0,0,0,0,1,0,0,0,0
86,19496477,0,0,0,0,0,0,0,0,1,0,0,0
87,19514080,0,0,0,0,0,0,0,0,0,0,0,0
88,19627591,0,0,0,0,0,0,0,1,0,0,0,0
89,19667698,0,0,0,0,0,0,0,0,0,0,0,1
90,19742513,0,0,0,0,0,0,0,0,0,0,0,0
91,19797579,0,0,0,0,0,0,0,0,1,0,0,0
92,19819083,0,0,0,0,0,0,0,0,0,0,0,0
93,19875503,0,1,0,0,0,0,0,0,0,0,0,0
94,19877028,0,0,0,0,0,0,0,1,0,0,0,0
95,19968325,0,0,1,0,0,0,0,0,0,0,0,0
96,20011053,0,0,0,0,0,0,0,0,0,0,0,0
97,20016650,0,1,0,0,0,0,0,0,0,0,0,0
98,20112297,0,0,0,0,0,0,0,0,0,0,0,0
99,20151346,0,0,0,0,0,0,0,0,0,0,0,1
100,20179343,0,0,0,0,1,0,0,0,0,0,0,0
101,20204461,0,0,0,0,0,0,0,0,1,0,0,0
102,20207539,0,0,0,0,0,0,0,0,0,0,1,0
103,20230014,0,1,0,0,0,0,0,0,0,0,0,0
104,20236012,0,0,0,0,0,0,0,0,1,0,0,0
105,20297460,0,0,0,0,0,0,0,0,0,0,1,0
106,20324783,0,0,0,0,0,0,0,0,1,0,0,0
107,20353217,0,0,0,0,0,0,0,0,0,0,0,0
108,20493072,0,0,0,0,0,0,0,0,0,1,0,0
109,20560258,0,0,0,0,0,0,0,1,0,0,0,0
110,20609605,0,1,0,0,0,0,0,0,0,0,0,0
111,20797828,0,1,0,0,0,0,0,0,0,0,0,0
112,20847866,0,0,0,1,0,0,0,0,0,0,0,0
113,20925821,0,0,0,0,0,0,0,0,1,0,0,0
114,20939639,0,0,0,0,0,0,0,0,1,0,0,0
115,20963713,0,0,1,0,0,0,0,0,0,0,0,0
116,21017803,0,0,0,0,0,0,0,0,0,0,0,0
117,21033221,0,0,0,0,0,0,0,0,0,0,0,0
118,21038703,0,0,0,0,0,0,0,0,0,0,0,0
119,21054355,0,1,0,0,0,0,0,0,0,0,0,0
120,21056653,0,0,0,0,0,0,0,0,0,0,0,1
121,21080582,0,0,0,0,0,0,0,0,1,0,0,0
122,21108598,0,0,0,0,0,0,0,1,0,0,0,0
123,21109428,0,0,0,0,0,0,0,0,0,0,0,0
124,21114655,0,0,0,0,0,0,0,0,0,0,0,1
125,21147964,0,0,0,0,0,0,0,0,0,1,0,0
126,21241037,0,0,0,0,0,0,0,0,0,0,0,0
127,21254634,0,0,0,0,0,0,0,0,0,0,0,0
128,21269840,0,0,0,0,0,0,0,0,0,0,0,1
129,21304845,0,0,0,0,0,0,0,0,0,0,0,0
130,21326709,0,0,0,0,0,0,0,0,0,0,1,0
131,21341856,0,0,0,0,0,0,0,0,0,0,0,0
132,21345597,0,1,0,0,0,0,0,0,0,0,0,0
133,21445824,0,1,0,0,0,0,0,0,0,0,0,0
134,21483022,0,0,0,0,1,0,0,0,0,0,0,0
135,21495479,0,0,0,0,0,0,0,0,0,0,0,0
136,21497010,0,0,0,0,1,0,0,0,0,0,0,0
137,21545673,0,0,0,1,0,0,0,0,0,0,0,0
138,21608255,0,0,0,0,0,0,1,0,0,0,0,0
139,21674388,0,0,0,0,0,0,0,0,1,0,0,0
140,21739700,0,0,0,0,0,0,0,0,0,1,0,0
141,21746570,0,0,0,0,0,0,0,1,0,0,0,0
142,21754917,0,0,0,0,0,0,0,0,0,0,0,0
143,21789395,0,0,0,1,0,0,0,0,0,0,0,0
144,21789891,0,0,0,1,0,0,0,0,0,0,0,0
145,21807778,0,1,0,0,0,0,0,0,0,0,0,0
146,21817005,0,0,0,0,0,0,0,0,1,0,0,0
147,21826407,0,0,0,0,1,0,0,0,0,0,0,0
148,21827184,0,0,0,0,0,0,0,0,0,0,0,1
149,21870963,0,0,0,0,0,0,0,0,0,0,0,0
150,21894156,0,0,0,0,0,0,0,0,0,0,0,0
151,21914490,0,0,0,0,0,0,0,0,0,0,0,0
152,21948158,0,1,0,0,0,0,0,0,0,0,0,0
153,21993847,0,0,0,0,0,0,0,0,0,0,0,0
154,22111250,0,0,0,0,1,0,0,0,0,0,0,0
155,22235315,0,0,0,1,0,0,0,0,0,0,0,0
156,22254375,0,1,0,0,0,0,0,0,0,0,0,0
157,22257000,0,0,0,0,0,0,0,0,1,0,0,0
158,22260552,0,0,0,1,0,0,0,0,0,0,0,0
159,22353074,0,0,0,0,0,0,0,0,0,0,0,0
160,22382865,0,0,0,0,0,1,0,0,0,0,0,0
161,22385116,0,0,0,0,1,0,0,0,0,0,0,0
162,22390963,0,0,0,0,0,1,0,0,0,0,0,0
163,22397696,0,0,0,0,0,0,0,0,0,0,0,0
164,22400592,0,0,0,0,1,0,0,0,0,0,0,0
165,22438235,0,0,0,0,0,0,0,0,1,0,0,0
